"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000000938.13",1.48266442135443,4.25229998173316,5.87202304252241,0.0153833636442622,0.0451526891648723,NA,NA
"ENSG00000000971.16",-3.3838021243968,2.25522007798154,18.7671345234621,1.47690411727204e-05,0.000262564648438173,NA,NA
"ENSG00000001036.14",1.50961356372775,1.76039395583835,10.8832649538613,0.000970370386553968,0.0059199746187064,NA,NA
"ENSG00000002822.15",-2.29796583931106,2.22690487201473,31.4302974909168,2.06729742130293e-08,2.09634048862393e-06,NA,NA
"ENSG00000003147.19",1.75289899766569,0.819576002097229,16.6563446569991,4.48002089684353e-05,0.000604559341677309,NA,NA
"ENSG00000003402.20",-1.10756297675272,6.35183175830543,12.5661467805174,0.000392797632304741,0.00303637647004699,NA,NA
"ENSG00000003756.17",-1.59578458351171,7.74490910319238,20.813381496828,5.06279880056921e-06,0.00011693887834245,NA,NA
"ENSG00000003987.14",-1.28822564977924,1.94413912194294,8.4383894038083,0.00367381484368068,0.0156916552583586,NA,NA
"ENSG00000004534.15",-1.00782066758099,6.62619469195031,14.6975902145321,0.000126207679731819,0.00130572361989211,NA,NA
"ENSG00000004660.15",-2.27930630935856,4.49042031911651,28.2170757490698,1.08443631720476e-07,7.02431837118109e-06,NA,NA
"ENSG00000004766.17",-1.02976370741325,3.48283339295412,8.97654141761204,0.00273467784885797,0.0126211990682423,NA,NA
"ENSG00000004779.10",1.10284216376975,4.95735444047376,13.8896168260558,0.000193866527089711,0.00180288609274813,NA,NA
"ENSG00000004838.14",-1.34072281859504,2.52126157800161,9.7084483302644,0.00183422819640539,0.00946979966004916,NA,NA
"ENSG00000005007.13",-1.18129270752274,6.82287293451373,18.7429473638128,1.49575507785195e-05,0.00026371312603359,NA,NA
"ENSG00000005156.12",-1.33068411587242,5.49038755404974,16.3322443702338,5.315181484354e-05,0.000686183481402998,NA,NA
"ENSG00000005187.12",-1.76902846168357,4.48175934566293,8.02092147495613,0.00462400375680892,0.0184697929753214,NA,NA
"ENSG00000005379.17",-1.70779165111614,7.27782281341535,15.7781375589157,7.12207473192254e-05,0.000856373441131413,NA,NA
"ENSG00000005810.18",-1.69668736240226,7.8651426280247,21.1821588031921,4.17634189575783e-06,0.000101499415274062,NA,NA
"ENSG00000005884.18",-1.44412936628551,0.731553267215071,8.30128289529919,0.00396170832507798,0.0165141383959182,NA,NA
"ENSG00000006327.14",-1.65740671462504,0.963320947198957,11.4530230025168,0.000713777871036585,0.00474514177719904,NA,NA
"ENSG00000006625.18",1.0848205666205,2.74025585138317,12.8967089147572,0.000329160415494513,0.00264215079204594,NA,NA
"ENSG00000006652.15",-1.22127353234921,6.42835027347336,6.99022131841691,0.0081956219241107,0.0282652737712948,NA,NA
"ENSG00000006715.16",-1.03084759023977,4.49108171312488,9.69974659554804,0.00184293423852963,0.00950364634323795,NA,NA
"ENSG00000006757.12",1.2777136623621,2.31766421717512,7.48744593511358,0.00621306169144955,0.0229568931248054,NA,NA
"ENSG00000007168.14",-1.34389545708018,7.36254738177697,15.9418181852156,6.53195037319086e-05,0.000801589758317937,NA,NA
"ENSG00000007392.17",-1.30501185945652,6.41936267642059,17.3967721449574,3.03340679062122e-05,0.000448330301256696,NA,NA
"ENSG00000007516.14",-1.44742018713746,3.99644487668172,6.64258387151649,0.00995694182372406,0.0325947086991521,NA,NA
"ENSG00000008056.14",1.1026403457451,2.08788837246127,6.1777066173647,0.0129369852805003,0.0396166920264941,NA,NA
"ENSG00000008083.14",-1.11061043840928,6.92857452334984,12.1512720780637,0.000490543951369478,0.00358065839662052,NA,NA
"ENSG00000008128.23",-1.93467365586519,2.49779618255699,21.1782896694743,4.18478168005527e-06,0.000101538888386748,NA,NA
"ENSG00000008226.20",-3.61872657153496,2.71831407929924,39.0771711659277,4.07379788583648e-10,1.31937915006939e-07,NA,NA
"ENSG00000008256.16",-1.50042540980074,5.86930048534256,17.1403662538836,3.47165741025869e-05,0.000496429876606538,NA,NA
"ENSG00000008277.14",-2.45827344504868,2.39826491198933,19.1909766855128,1.18271128230693e-05,0.000220853445055725,NA,NA
"ENSG00000008294.21",-1.42485272343458,7.29987433614231,10.5003421963661,0.00119352438796538,0.00692411461522903,NA,NA
"ENSG00000008710.20",-1.09456948862879,6.63917913557944,13.3433892011895,0.000259335222590177,0.00221917067555914,NA,NA
"ENSG00000008869.12",-1.06608928092051,5.33886918412552,10.1856842324554,0.00141535191259002,0.00782989706415377,NA,NA
"ENSG00000010327.10",2.03170234839157,6.78238421428166,8.34654041567306,0.00386422405730572,0.0162381776702017,NA,NA
"ENSG00000010404.18",-1.24692069257746,4.69586468485896,16.2772154326215,5.47179628836862e-05,0.000701538907952803,NA,NA
"ENSG00000010610.10",1.90515026817113,3.87239982346414,11.1494001456069,0.000840588499530202,0.00532636164521007,NA,NA
"ENSG00000010818.10",-1.74686827516721,6.25249663487365,28.5286984499535,9.23199190597886e-08,6.33816660899876e-06,NA,NA
"ENSG00000011275.19",-1.27487947570277,6.27969609985706,18.186238803822,2.00321042814668e-05,0.000330862848764183,NA,NA
"ENSG00000011376.12",-1.06884209047314,4.81779076907742,13.337614202146,0.000260135099094172,0.00222346110516637,NA,NA
"ENSG00000011454.18",-1.0993601823154,5.45435054204862,11.9599678148938,0.000543558096301418,0.00385432104650096,NA,NA
"ENSG00000011523.14",-1.13674853284461,6.4899671862888,10.2645454575272,0.00135611144806921,0.00760095874843305,NA,NA
"ENSG00000011566.15",-1.26074874369677,5.6629932580748,9.52279177256747,0.00202935627016173,0.0101684834186484,NA,NA
"ENSG00000011600.12",2.05077822162881,4.94464826882837,11.6626707641524,0.000637667305381928,0.00436780115658849,NA,NA
"ENSG00000012171.20",-2.67693968894981,3.30505471288419,23.5163480171535,1.2385687197128e-06,4.04653438295641e-05,NA,NA
"ENSG00000013503.10",-1.03999533472179,2.22425043391475,10.8728444097866,0.000975845408631631,0.0059460715328401,NA,NA
"ENSG00000013573.17",-1.1690066969856,5.63715268986393,13.6163365368832,0.000224225799492402,0.00199552924781231,NA,NA
"ENSG00000013583.10",1.14369666855206,4.20635255436579,11.9456124689165,0.000547762213256636,0.00387859384652917,NA,NA
"ENSG00000015153.15",-1.36102855882843,5.49766168539721,17.7398943361616,2.53259244012979e-05,0.000391886356825234,NA,NA
"ENSG00000015479.20",-2.59262797339941,5.90797609135745,21.5322503198373,3.47928010831482e-06,8.75579646176929e-05,NA,NA
"ENSG00000017260.20",-1.08231476032732,5.79132134975716,11.374407580246,0.000744629707268126,0.00489131101361576,NA,NA
"ENSG00000018280.17",1.79601997712871,3.44632907696504,11.2878268407862,0.000780169495926006,0.00504907261090601,NA,NA
"ENSG00000018510.17",-1.33323584339323,5.52515084976219,9.37560194815882,0.0021989248638981,0.0107797244561875,NA,NA
"ENSG00000020181.18",-1.43136828080022,1.77233972178388,8.79171878010221,0.00302601013512622,0.0135992455484496,NA,NA
"ENSG00000021300.14",-1.57062875279978,2.85359561624192,12.0785057182811,0.000510064620313797,0.00367809424658032,NA,NA
"ENSG00000022567.10",-1.04187412909091,3.13410942220047,6.62652372115216,0.0100471156211569,0.0328249843254375,NA,NA
"ENSG00000023171.18",-1.30733264703524,5.82208906293863,16.9892836250405,3.75913927269181e-05,0.000530739039678738,NA,NA
"ENSG00000023287.13",-1.33174141239142,7.35679582812731,9.61005757301248,0.00193514575623492,0.00984960761065525,NA,NA
"ENSG00000023445.16",-1.34420183209511,3.85076189334754,7.49434826711769,0.0061892926514173,0.0228804173500781,NA,NA
"ENSG00000023516.9",-1.22906868030627,5.50892078887319,12.0193238521336,0.000526517993756786,0.00375675917123248,NA,NA
"ENSG00000023839.12",-1.88108781951841,1.6398887892767,24.572218465389,7.15762515925806e-07,2.65920946689842e-05,NA,NA
"ENSG00000025708.14",1.45556561332115,3.46596247441055,6.94178676362506,0.00842049593938402,0.0288202045476223,NA,NA
"ENSG00000026036.22",-1.33883810641487,1.8218231445979,9.96540447330535,0.00159509131259563,0.00857894237366414,NA,NA
"ENSG00000026652.15",-2.09956254956672,4.09635853847474,18.5772173908954,1.63158879261783e-05,0.000282973339143428,NA,NA
"ENSG00000028203.18",-1.04346152426218,6.1690405696083,9.84712065528102,0.00170097788841885,0.00896397898184083,NA,NA
"ENSG00000028310.18",-1.04336730845869,5.63504677424132,13.7869727034743,0.000204751080961364,0.00187088847438779,NA,NA
"ENSG00000029153.14",-1.31278813558501,2.13407745247705,6.01960065666491,0.0141478476980693,0.0424008519424333,NA,NA
"ENSG00000029725.17",-1.36174586869992,5.89041862325908,15.5972145498865,7.8369952185328e-05,0.000920785132221622,NA,NA
"ENSG00000030419.16",-2.27811970450155,5.05229875403171,13.6260913417866,0.000223063783187435,0.00198756234564976,NA,NA
"ENSG00000030582.18",1.41391659282268,6.6664611089076,12.794797890754,0.000347584532550465,0.00276471669297215,NA,NA
"ENSG00000031003.10",-1.235285966901,5.83242182887145,15.6169171616925,7.75576007579488e-05,0.000914481571192436,NA,NA
"ENSG00000033178.13",-1.40615242539761,6.34330479962279,12.6849187410043,0.00036861661012049,0.00290103024700214,NA,NA
"ENSG00000033627.17",1.33438218000318,3.81525647930416,10.6661401834525,0.00109114570752371,0.00646357405593966,NA,NA
"ENSG00000033867.16",-1.10914784418186,5.35307186819797,5.92884811500431,0.0148949750201005,0.0440900730875139,NA,NA
"ENSG00000034053.14",-1.61097373542185,2.16477269999211,13.7093666376573,0.000213387581840477,0.00192251332132106,NA,NA
"ENSG00000034533.12",-1.14741172455221,2.29945382500597,15.9741736244521,6.42125262297509e-05,0.000790458966212893,NA,NA
"ENSG00000034677.13",-1.07406101826512,6.4848218996177,10.3567223965903,0.00129004044015674,0.00731595830889041,NA,NA
"ENSG00000035720.8",-1.88327241993019,4.21480353310054,15.821900764443,6.95923151190026e-05,0.00084167753284265,NA,NA
"ENSG00000036054.13",-1.08463439766667,5.22150385767125,7.99162567654525,0.00469942001975662,0.0186415518310158,NA,NA
"ENSG00000036257.13",-1.44604436313766,6.9999696142559,17.3316643731493,3.13912377605613e-05,0.000461209724020554,NA,NA
"ENSG00000036549.13",-1.06145881865324,5.44771919998455,11.1192388431209,0.00085436841376705,0.00539338162216166,NA,NA
"ENSG00000037749.12",-1.15412886126688,2.05955374834913,8.42153729807777,0.00370802143182057,0.0157744441151522,NA,NA
"ENSG00000038219.13",-1.35722745823448,7.07345033136658,11.7702825021647,0.000601838436681893,0.00417032047892412,NA,NA
"ENSG00000038382.20",-1.91240680206217,7.66457150577338,26.5445162376759,2.57534705337595e-07,1.32759586163304e-05,NA,NA
"ENSG00000038427.16",2.72076368998672,5.08745446973447,13.7435353850853,0.00020954073263715,0.00190349867977333,NA,NA
"ENSG00000038532.16",-1.0100530121773,6.35961824260444,12.0175280135603,0.000527025551609336,0.00375675917123248,NA,NA
"ENSG00000039123.16",-1.49610365162082,5.16103128410155,16.9798120714376,3.77793923792503e-05,0.000531982408001957,NA,NA
"ENSG00000039319.17",-1.25066759239938,4.4671980232754,8.68391198465986,0.00321031166710888,0.0142300574878275,NA,NA
"ENSG00000039523.20",-1.02706973523892,7.15536649226601,13.2192634302045,0.00027708648789833,0.00232565323758272,NA,NA
"ENSG00000040487.13",-1.64315085487577,4.22840926375375,23.7138521645677,1.11775120253449e-06,3.72533722938678e-05,NA,NA
